layout_id,square_1_x,square_1_y,square_2_x,square_2_y,square_3_x,square_3_y,square_4_x,square_4_y,square_5_x,square_5_y,square_6_x,square_6_y,square_7_x,square_7_y,square_8_x,square_8_y,square_9_x,square_9_y
1,732,188,451,522,982,570,647,601,956,128,665,422,383,190,866,434,183,620
2,130,616,686,153,769,289,184,281,437,209,259,404,156,98,893,144,655,514
3,977,218,101,508,632,270,449,167,692,120,334,365,757,624,846,295,483,330
4,868,131,136,346,335,509,294,234,690,460,936,339,479,317,180,627,629,266
5,839,310,731,409,951,540,333,116,294,384,114,67,590,363,851,155,221,258
6,436,516,172,165,218,445,776,423,886,317,535,213,352,224,943,606,942,174
7,237,390,408,503,930,625,814,112,656,403,695,198,986,351,127,146,433,233
8,900,286,540,146,611,451,248,367,797,636,310,215,394,585,686,258,162,526
9,909,249,378,511,235,184,947,109,650,386,527,258,771,632,860,473,404,351
10,253,137,462,381,452,580,187,307,937,547,805,126,903,273,465,136,604,530
