layout_id,square_1_x,square_1_y,square_2_x,square_2_y,square_3_x,square_3_y,square_4_x,square_4_y,square_5_x,square_5_y,square_6_x,square_6_y,square_7_x,square_7_y,square_8_x,square_8_y,square_9_x,square_9_y
1,28,292,230,291,88,185,146,445,175,151,112,347,246,441,37,473,272,186
2,221,474,153,147,233,340,267,183,36,234,27,143,131,417,184,249,49,351
3,193,467,154,228,213,147,70,419,266,414,220,305,100,332,81,175,31,261
4,180,214,179,482,185,375,77,360,79,267,261,306,99,135,45,452,22,197
5,157,437,57,388,174,164,27,246,115,288,261,369,260,466,28,152,20,473
6,141,281,131,138,27,167,257,152,151,454,58,371,277,316,41,462,270,476
7,257,376,65,458,97,224,263,179,182,300,178,456,158,145,49,348,35,151
8,34,318,196,175,108,375,43,214,238,439,163,262,117,474,260,287,32,444
9,185,190,36,167,170,388,29,428,94,294,243,303,278,194,117,483,264,419
10,36,210,234,271,127,242,72,326,208,484,117,417,29,443,266,415,238,141
